0 -1 2e-26 0.01 1 1 0.0130215
81 61
nH T Edot YT YHI YHeI YHeII Ye E
1e-05 1e+07 -2.74175e-33 1.64552 1.32308e-08 2.77708e-13 8.41245e-08 0.855306 2.03618e+15
1e-05 1.33352e+07 -3.00157e-33 1.64552 9.83308e-09 1.41406e-13 6.12661e-08 0.855306 2.71529e+15
1e-05 1.77828e+07 -3.2207e-33 1.64552 7.30686e-09 1e-13 4.47534e-08 0.855306 3.62089e+15
1e-05 2.37137e+07 -3.61036e-33 1.64552 5.42743e-09 1e-13 3.27344e-08 0.855306 4.82854e+15
1e-05 3.16228e+07 -4.24801e-33 1.64552 4.02937e-09 1e-13 2.39467e-08 0.855306 6.43896e+15
1e-05 4.21697e+07 -5.15454e-33 1.64552 2.98979e-09 1e-13 1.75081e-08 0.855306 8.58649e+15
1e-05 5.62341e+07 -6.36538e-33 1.64552 2.21697e-09 1e-13 1.27893e-08 0.855306 1.14503e+16
1e-05 7.49894e+07 -7.95344e-33 1.64552 1.6424e-09 1e-13 9.33386e-09 0.855306 1.52692e+16
1e-05 1e+08 -1.00167e-32 1.64552 1.21503e-09 1e-13 6.80692e-09 0.855306 2.03618e+16
1e-05 1.33352e+08 -1.27019e-32 1.64552 8.96938e-10 1e-13 4.96145e-09 0.855306 2.71529e+16
1e-05 1.77828e+08 -1.61994e-32 1.64552 6.60074e-10 1e-13 3.61495e-09 0.855306 3.62089e+16
1e-05 2.37137e+08 -2.07731e-32 1.64552 4.8376e-10 1e-13 2.63292e-09 0.855306 4.82854e+16
1e-05 3.16228e+08 -2.67726e-32 1.64552 3.52764e-10 1e-13 1.91666e-09 0.855306 6.43896e+16
1.33352e-05 10 4.67377e-31 1.42752 0.1 0.059 3.84434e-09 0.637306 1.76642e+09
1.33352e-05 13.3352 6.12561e-32 1.57897 0.0134016 0.001705 0.049736 0.788758 2.60547e+09
1.33352e-05 17.7828 5.42145e-32 1.5832 0.0113986 0.00140423 0.0481061 0.792993 3.48377e+09
1.33352e-05 23.7137 4.79948e-32 1.58729 0.00967673 0.00114589 0.0462555 0.797082 4.65769e+09
1.33352e-05 31.6228 4.24855e-32 1.59127 0.00820063 0.000927311 0.044194 0.801057 6.22668e+09
1.33352e-05 42.1697 3.75923e-32 1.59515 0.00693836 0.000744446 0.0419389 0.80494 8.32367e+09
1.33352e-05 56.2341 3.32346e-32 1.59895 0.00586136 0.000592851 0.0395149 0.808744 1.11263e+10
1.33352e-05 74.9894 2.93415e-32 1.60268 0.00494428 0.00046821 0.036953 0.812472 1.48717e+10
1.33352e-05 100 2.58529e-32 1.60633 0.00416478 0.00036656 0.03429 0.816118 1.98769e+10
1.33352e-05 133.352 2.27249e-32 1.60988 0.00350329 0.00028437 0.0315665 0.819667 2.65648e+10
1.33352e-05 177.828 1.99186e-32 1.61331 0.00294277 0.000218527 0.0288257 0.8231 3.55003e+10
1.33352e-05 237.137 1.73913e-32 1.6166 0.00246846 0.000166309 0.0261109 0.826394 4.7437e+10
1.33352e-05 316.228 1.5108e-32 1.61973 0.00206762 0.000125338 0.0234631 0.829525 6.33807e+10
1.33352e-05 421.697 1.30275e-32 1.62268 0.00172929 9.35499e-05 0.0209192 0.83247 8.46733e+10
1.33352e-05 562.341 1.11236e-32 1.62542 0.00144407 6.91693e-05 0.0185102 0.835213 1.13105e+11
1.33352e-05 749.894 9.40429e-33 1.62795 0.00120392 5.06834e-05 0.01626 0.837741 1.51062e+11
1.33352e-05 1000 7.86235e-33 1.63025 0.00100196 3.68235e-05 0.0141852 0.840045 2.01729e+11
1.33352e-05 1333.52 6.5038e-33 1.63234 0.000832343 2.65433e-05 0.0122949 0.842126 2.69354e+11
1.33352e-05 1778.28 5.3273e-33 1.6342 0.000690068 1.89948e-05 0.0105919 0.843986 3.59598e+11
1.33352e-05 2371.37 4.33774e-33 1.63584 0.000570889 1.35037e-05 0.00907293 0.845635 4.80016e+11
1.33352e-05 3162.28 3.53133e-33 1.63729 0.000471197 9.54293e-06 0.00773064 0.847085 6.40679e+11
1.33352e-05 4216.97 2.88298e-33 1.63856 0.00038793 6.70758e-06 0.00655427 0.84835 8.55019e+11
1.33352e-05 5623.41 2.3512e-33 1.63966 0.000318493 4.69149e-06 0.00553098 0.849447 1.14095e+12
1.33352e-05 7498.94 1.89953e-33 1.6406 0.000260691 3.26643e-06 0.00464676 0.850392 1.52236e+12
1.33352e-05 10000 1.48958e-33 1.64141 0.000212665 2.26436e-06 0.00388728 0.851201 2.0311e+12
1.33352e-05 13335.2 1.04811e-33 1.6421 0.000172843 1.56301e-06 0.00323846 0.851891 2.70965e+12
